-0.0013336,-0.00101964,-0.00534088,-0.00102864,-0.0950561,-3.80224
-0.00134869,-0.001082,-0.00535176,-0.000867679,-0.00190644,3.72598
-0.00134047,0.00204768,-0.00534517,0.00129392,-0.000966189,0.0376102
-0.00195236,-3.21579e-05,-0.00586922,0.00116618,-0.00014354,0.0329059
-0.00196778,-0.000723431,-0.00587188,-0.000924799,-1.85129e-05,0.0050011
-0.00226403,0.000414188,-0.0061159,0.000143728,-7.89405e-05,-0.0024171
-0.00201468,-9.69968e-05,-0.00588333,0.000150506,-1.85851e-05,0.00241421
-0.00202862,0.000217976,-0.00588744,-0.000418319,-0.000120712,-0.00408509
-0.00166664,-2.06192e-05,-0.00557888,0.000476331,-0.000284414,-0.00654804
-0.00121668,-2.73687e-05,-0.0052005,-0.000252306,-0.000492572,-0.00832633
-0.00124223,-0.000337793,-0.00520429,-0.000302546,-0.000609668,-0.00468385
-0.00170314,-0.000462902,-0.00558846,-0.000123516,-0.000587352,0.000892634
-0.00173684,-0.000292748,-0.00559094,-0.000287004,-0.000510459,0.00307573
-0.00196801,-0.000246231,-0.00576133,-0.000151446,-0.000317886,0.00770294
-0.00191747,-8.72783e-05,-0.00571535,-5.00353e-05,7.23626e-05,0.0156099
-0.00195603,0.000258737,-0.00571583,-1.22972e-05,0.000516001,0.0177455
-0.00224397,0.000599079,-0.00589548,0.000530385,0.000820638,0.0121855
-0.00171518,0.000685841,-0.00548034,0.000710091,0.000915769,0.00380527
-0.00221026,0.000522237,-0.00586631,0.00043082,0.000959791,0.00176086
-0.00230736,0.00077757,-0.0059364,0.000645109,0.000963031,0.000129611
-0.00186179,0.00075258,-0.00558019,0.00066149,0.00097415,0.000444738
-0.00191016,0.000577488,-0.00557475,0.000486369,0.000937091,-0.00148232
-0.00156704,0.000748388,-0.00531691,0.000702591,0.000825189,-0.00447611
-0.00161719,0.000508394,-0.00530339,1.26318e-06,0.000651617,-0.00694286
-0.00238189,0.000235423,-0.00584805,-7.73604e-05,0.000342478,-0.0123656
-0.00222581,0.000428239,-0.005703,0.00112837,0.000171801,-0.00682707
-0.0020702,0.000304884,-0.0055326,0.000553737,-8.28354e-05,-0.0101855
-0.00215264,0.000490171,-0.00551765,0.000316264,-0.000479507,-0.0158669
-0.00224005,0.000177296,-0.00555753,1.37248e-06,-0.000777219,-0.0119085
-0.00238103,9.36715e-05,-0.00559649,0.000283831,-0.000920258,-0.00572154
-0.00248494,-0.000253583,-0.00559675,-0.000248984,-0.000972339,-0.00208325
-0.00285755,-0.000477123,-0.00591016,-0.000922637,-0.00101058,-0.00152972
-0.00298722,-0.000854955,-0.00591025,-0.0014689,-0.00108306,-0.00289896
-0.00312892,-0.00126602,-0.00592466,-0.00146371,-0.000974606,0.00433797
-0.00325617,-0.00178091,-0.00601955,-0.00157204,-0.000692627,0.0112792
-0.00342239,-0.0018541,-0.00601973,-0.00136961,-0.000359594,0.0133213
-0.00257322,-0.0017951,-0.00545494,-0.00141523,8.97156e-05,0.0179724
-0.00273609,-0.00165836,-0.00545741,-0.00130529,0.000783596,0.0277552
-0.00368232,-0.00145628,-0.00612218,-0.00105817,0.00176001,0.0390568
-0.00359871,-0.000871105,-0.00602742,-0.000408484,0.00303212,0.0508842
-0.00244223,0.0001463,-0.00533923,0.000509433,0.00469166,0.0663815
-0.00257704,0.00131639,-0.00581886,0.00141703,0.00668932,0.0799065
-0.00274234,0.00297203,-0.00578322,0.00293644,0.00901519,0.0930348
-0.00225167,0.00486955,-0.00555957,0.00520832,0.0117019,0.10747
-0.00213625,0.0069117,-0.00542488,0.00746537,0.0149222,0.128809
-0.00224814,0.00913063,-0.00531026,0.0100942,0.0188059,0.155351
-0.00234074,0.0101671,-0.00518722,0.0113551,0.0232516,0.177827
-0.00223403,0.00747886,-0.00532329,0.00834924,0.0282087,0.198285
-0.00231272,0.0166882,-0.00518686,0.0129248,0.0332236,0.200595
-0.00229978,0.0264591,-0.00499022,0.0219895,0.0384094,0.207432
-0.00220743,0.0338148,-0.00466021,0.0353424,0.0447118,0.252096
-0.00158396,0.0415922,-0.00374065,0.0498179,0.0526392,0.317097
-0.00126172,0.0538677,-0.00313184,0.0633114,0.0616987,0.362378
-0.000566236,0.0698802,-0.00194134,0.0755362,0.0713002,0.384059
0.000157953,0.0878589,-0.00107673,0.0899497,0.0815609,0.41043
0.00109767,0.105696,-4.05078e-05,0.108621,0.0931769,0.464641
0.00226109,0.12314,0.00120158,0.130001,0.107011,0.553357
0.00368765,0.144463,0.00266914,0.153143,0.123328,0.652701
0.00544336,0.171127,0.00437819,0.177857,0.141832,0.740152
0.00758307,0.201152,0.00634987,0.205213,0.16257,0.829522
0.0101442,0.232645,0.00862333,0.237011,0.186387,0.952654
0.0110836,0.264158,0.00959331,0.272526,0.21488,1.13975
0.0145003,0.299291,0.0125901,0.311145,0.249916,1.40141
0.0184848,0.339067,0.0159885,0.352257,0.294009,1.76375
0.0231157,0.383692,0.019831,0.396827,0.351666,2.30626
0.0284752,0.433369,0.0241412,0.446673,0.431743,3.20308
0.0345913,0.4777,0.0289655,0.498433,0.471705,1.59847
0.0409281,0.517989,0.0338697,0.548965,0.473527,0.0729138
0.0485475,0.557317,0.0396774,0.593477,0.47415,0.0249234
0.0570084,0.601089,0.0459039,0.632469,0.473992,-0.00634774
0.0662644,0.648118,0.0523928,0.669777,0.4736,-0.0156722
0.0765698,0.69201,0.059376,0.708179,0.474089,0.0195685
0.0877472,0.728574,0.0666734,0.747193,0.475466,0.0550591
0.0998631,0.760647,0.0744295,0.784932,0.475919,0.0181348
0.112899,0.791077,0.0825245,0.818394,0.475208,-0.0284532
0.125873,0.824802,0.0901599,0.848264,0.473124,-0.083338
0.140855,0.859292,0.0988781,0.877491,0.471074,-0.0820084
0.156597,0.889925,0.107666,0.908854,0.47025,-0.0329737
